movieId,overview,tagline,director,cast,poster_url,budget,revenue
13,"A lonely veteran drives a cab through New York and descends into obsession.","On every street in every city, there is a nobody who dreams of being a somebody.",Martin Scorsese,"Robert De Niro|Jodie Foster|Cybill Shepherd",https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg,1900000,28600000
14,"A farm boy joins a rebel alliance and discovers a destiny among the stars.","A long time ago in a galaxy far, far away...",George Lucas,"Mark Hamill|Harrison Ford|Carrie Fisher",https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,11000000,775398007
15,"A commercial spaceship crew encounters a lethal extraterrestrial lifeform.","In space no one can hear you scream.",Ridley Scott,"Sigourney Weaver|Tom Skerritt|John Hurt",https://image.tmdb.org/t/p/w500/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,11000000,104931801
16,"A teenager travels through time in a sports car and must repair his own history.","He's the only kid ever to get into trouble before he was born.",Robert Zemeckis,"Michael J. Fox|Christopher Lloyd|Lea Thompson",https://image.tmdb.org/t/p/w500/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,19000000,381109762
17,"A hacker learns reality is a simulation and joins a rebellion against machine control.","Welcome to the real world.",Lana Wachowski|Lilly Wachowski,"Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss",https://image.tmdb.org/t/p/w500/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,63000000,463517383
18,"An office worker and a charismatic stranger build an underground club that becomes something darker.","Mischief. Mayhem. Soap.",David Fincher,"Brad Pitt|Edward Norton|Helena Bonham Carter",https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,63000000,101209702
19,"A cautious clownfish crosses the ocean to rescue his son with help from a forgetful friend.","There are 3.7 trillion fish in the ocean. They're looking for one.",Andrew Stanton,"Albert Brooks|Ellen DeGeneres|Alexander Gould",https://image.tmdb.org/t/p/w500/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,94000000,940335536
20,"Batman faces a criminal mastermind who turns Gotham's moral order into chaos.","Why so serious?",Christopher Nolan,"Christian Bale|Heath Ledger|Aaron Eckhart",https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,185000000,1004558444
21,"A thief who steals secrets through dreams is offered a chance to erase his past.","Your mind is the scene of the crime.",Christopher Nolan,"Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page",https://image.tmdb.org/t/p/w500/edv5CZvWj09upOsy2Y6IwDhK8bt.jpg,160000000,839030630
22,"Explorers travel through a wormhole to find a future for humanity as Earth becomes unlivable.","Mankind was born on Earth. It was never meant to die here.",Christopher Nolan,"Matthew McConaughey|Anne Hathaway|Jessica Chastain",https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,165000000,701729206
23,"A jazz pianist and an aspiring actor fall in love while chasing careers in Los Angeles.","Here's to the fools who dream.",Damien Chazelle,"Ryan Gosling|Emma Stone|John Legend",https://image.tmdb.org/t/p/w500/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,30000000,447407695
24,"A poor family infiltrates a wealthy household and exposes class tensions with dark humor.","Act like you own the place.",Bong Joon Ho,"Song Kang-ho|Cho Yeo-jeong|Park So-dam",https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,11400000,262676096
25,"A laundromat owner is pulled into a multiverse crisis where small choices carry cosmic weight.","The universe is so much bigger than you realize.",Daniel Kwan|Daniel Scheinert,"Michelle Yeoh|Stephanie Hsu|Ke Huy Quan",https://image.tmdb.org/t/p/w500/w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg,25000000,143400000
